State,Fruits,Vegetables,2010_population,Population,UrbanPopulation,RuralPopulation
Alabama,0.44,0.24,"4,596","4,596,000",59,41
Alaska,0.39,0.2,694,"694,000",66,34
Arizona,0.38,0.21,"6,637","6,637,000",89.8,10.2
Arkansas,0.48,0.29,"2,875","2,875,000",56.2,43.8
California,0.3,0.17,"38,067","38,067,000",95.2,4.8
Colorado,0.36,0.19,"4,832","4,832,000",86.2,13.8
Connecticut,0.32,0.21,"3,577","3,577,000",88,12
Delaware,0.39,0.24,884,"884,000",83.3,16.7
Florida,0.38,0.23,"19,252","19,252,000",91.2,8.8
Georgia,0.42,0.23,"9,589","9,589,000",75.1,24.9
Hawaii,0.4,0.23,"1,341","1,341,000",91.9,8.1
Idaho,0.38,0.2,"1,517","1,517,000",70.6,29.4
Illinois,0.36,0.25,"12,917","12,917,000",88.5,11.5
Indiana,0.42,0.27,"6,392","6,392,000",72.4,27.6
Iowa,0.4,0.27,"3,010","3,010,000",64,36
Kansas,0.41,0.22,"2,805","2,805,000",74.2,25.8
Kentucky,0.46,0.25,"4,265","4,265,000",58.4,41.6
Louisiana,0.47,0.33,"4,613","4,613,000",73.2,26.8
Maine,0.33,0.19,"1,357","1,357,000",38.7,61.3
Maryland,0.36,0.23,"5,905","5,905,000",87.2,12.8
Massachusetts,0.32,0.21,"6,649","6,649,000",92,8
Michigan,0.37,0.23,"10,429","10,429,000",74.6,25.4
Minnesota,0.36,0.24,"5,421","5,421,000",73.3,26.7
Mississippi,0.51,0.32,"2,971","2,971,000",49.3,50.7
Missouri,0.44,0.25,"5,922","5,922,000",70.4,29.6
Montana,0.39,0.22,969,"969,000",55.9,44.1
Nebraska,0.4,0.26,"1,769","1,769,000",73.1,26.9
Nevada,0.37,0.24,"2,691","2,691,000",94.2,5.8
New Hampshire,0.3,0.18,"1,386","1,386,000",60.3,39.7
New Jersey,0.34,0.22,"9,018","9,018,000",94.7,5.3
New Mexico,0.38,0.22,"1,980","1,980,000",77.4,22.6
New York,0.34,0.23,"19,444","19,444,000",87.9,12.1
North Carolina,0.41,0.22,"9,346","9,346,000",66.1,33.9
North Dakota,0.39,0.27,637,"637,000",59.9,40.1
Ohio,0.41,0.26,"11,576","11,576,000",77.9,22.1
Oklahoma,0.5,0.27,"3,592","3,592,000",66.2,33.8
Oregon,0.32,0.15,"3,791","3,791,000",81,19
Pennsylvania,0.36,0.24,"12,584","12,584,000",78.7,21.3
Rhode Island,0.33,0.21,"1,117","1,117,000",90.7,9.3
South Carolina,0.44,0.27,"4,447","4,447,000",66.3,33.7
South Dakota,0.4,0.26,786,"786,000",56.7,43.3
Tennessee,0.46,0.25,"6,231","6,231,000",66.4,33.6
Texas,0.4,0.22,"24,649","24,649,000",84.7,15.3
Utah,0.35,0.2,"2,595","2,595,000",90.6,9.4
Vermont,0.31,0.18,653,"653,000",38.9,61.1
Virginia,0.38,0.22,"8,010","8,010,000",75.5,24.5
Washington,0.35,0.19,"6,542","6,542,000",84,16
West Virginia,0.47,0.26,"1,829","1,829,000",48.7,51.3
Wisconsin,0.36,0.26,"5,727","5,727,000",70.2,29.8
Wyoming,0.38,0.22,520,"520,000",64.8,35.2
